,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL,label
3197,9ed611ef-5a46-5305-b3bc-f2cdf3e1f57c,1,0,0,2,6,1,0,0,0,0,0,5,1,0,0,0,0,5,1
13715,cead64e6-679d-51c0-b6c9-0397b5feb49d,10,1,0,24,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
19428,8bcdaa6c-c068-5229-b323-6cfc34ec3146,8,6,1,3,16,1,2,0,0,0,0,19,3,0,0,46,0,12,0
14799,c4411751-feaa-588a-8acc-103ff5e002a0,2,0,0,2,10,0,0,0,0,0,0,5,2,0,0,2,0,2,0
6806,89be3be0-fc8e-5704-a922-d056592d0db4,2,0,0,2,0,1,0,0,0,0,0,2,1,0,0,2,0,1,1
2356,01805db8-b3dd-5937-a9f9-b98f22c23dea,1,1,0,5,1,5,0,0,0,0,0,11,0,0,0,0,0,13,1
13359,afa54ac1-f664-591b-b552-520c38b106b3,0,0,1,12,0,0,1,0,0,0,0,4,3,0,0,0,0,4,0
1662,af3182ca-636c-5b93-b2c5-abfaf7da0a4e,1,0,0,3,2,0,0,0,0,0,0,7,4,0,0,0,0,1,1
12104,07b6484e-9abe-58c5-97a8-f20e82b2e164,2,2,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,4,0
19819,137d1922-83bb-51ca-a068-e63cd25e926a,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11094,92b9c8c1-7a03-5a41-bc94-7916c0d0439f,2,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0
6620,9de1a5b7-d77e-5a02-95ad-eee9789f5922,2,2,0,5,4,0,1,0,0,0,0,22,2,0,0,0,0,7,1
4349,25887cab-9f0d-50ba-9974-d78c727a561f,1,1,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,8,1
3035,7a37464a-2ff2-5b26-8a8f-feb08d37f46e,14,7,3,29,46,1,10,1,0,0,0,91,0,0,11,40,0,233,1
6264,b7c82e46-98a6-5e70-8a68-de1d89b456e9,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1
12843,87904aef-a0c6-5224-84f5-6e75bba30598,1,1,0,2,2,0,0,0,0,0,0,3,0,0,13,0,0,7,0
6484,56e55435-1c4b-5189-9654-ece0024966ad,2,2,0,5,7,0,0,1,0,0,0,5,0,0,0,4,0,16,1
9888,a827aac4-a4f7-525e-ba1e-a4e3769d19a6,13,11,1,6,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7651,7af2405a-57ea-55a2-86af-03e87f374334,8,7,2,19,4,0,0,0,0,0,0,5,2,0,0,0,0,4,1
9282,9cc4248f-a42f-5a72-8e37-c0b2bc84ec85,10,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
6279,84f848a8-c147-5f15-9399-03f3c013c3af,4,4,0,10,32,0,2,0,0,0,0,20,0,2,0,3,0,22,1
19285,74749803-61fc-5cf7-a150-76c069f0ae87,5,6,0,7,3,0,0,0,0,0,0,1,0,0,0,0,0,5,0
14621,96613fd1-2a79-56e3-94c6-4e8724fc9f6e,14,11,0,10,5,0,0,0,0,0,0,1,1,2,0,0,0,2,0
6306,27b9ac56-22b0-527d-8622-3a709823c815,4,0,0,9,2,0,0,0,0,0,0,10,1,0,0,1,0,6,1
