,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL
119,fb2f8f0b-9ce6-5829-9d99-29c7b5834595,47,5,4,42,31,1,2,1,1,0,0,43,5,0,4,0,0,14
120,421f003f-00b0-504a-86a9-b9fdd31939cb,4,1,1,1,1,1,0,0,0,0,0,4,1,0,0,0,0,0
121,e0bf7062-644e-56ff-893e-70df967ccabb,0,0,0,9,3,0,0,0,0,0,0,6,1,0,9,0,0,3
122,9e530717-23e5-583d-8563-f37d62c29d67,4,0,0,5,2,1,0,0,2,0,0,2,0,0,5,0,0,0
123,ac15f905-0d86-58df-b67e-9877d896008a,1,0,0,19,17,12,0,1,1,0,0,8,0,0,0,0,0,25
124,ee816cd2-6b36-5b04-ab26-35770b05e6a5,38,1,3,34,22,0,0,0,1,0,0,5,2,0,0,2,0,0
125,0a7501de-3751-5b11-8a5f-12d6b47c8f33,10,0,0,16,9,1,0,0,0,0,0,10,0,2,2,1,0,15
126,9e7bb811-3f3e-50d4-8f77-8ba6673cafee,5,65,1,114,59,46,14,2,12,0,0,124,0,4,101,0,0,356
127,c3daefdc-11ca-5fe8-9821-5b3b268b50eb,9,0,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,1
128,e12eb9a4-7472-51d7-9ccf-f14d664df054,34,6,4,28,31,1,3,2,0,2,0,32,5,0,12,1,0,15
129,fd2be4d5-25bc-5586-a538-7d8a8a9af2f1,8,0,4,33,15,10,1,1,1,0,0,9,0,2,0,1,0,2
130,4008ff20-9400-5d6f-a09e-7baa0471c5f6,0,0,0,31,3,2,1,0,2,0,0,8,0,0,0,0,0,6
131,59bd1240-162e-5c31-bc99-fda2a59318a2,13,0,0,8,0,0,0,0,3,0,0,4,0,0,0,0,0,0
132,7bd30d47-033b-557d-b440-db328c57b03b,25,0,1,10,12,0,3,0,0,0,0,16,3,1,1,1,0,3
133,9b402d00-fd41-517e-96d0-2feed4b53d16,1,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,1
134,81232c97-4842-562a-ad7c-18192a5dbb04,17,0,1,22,20,3,0,3,1,0,0,12,1,0,0,0,0,11
135,1e7c8dff-e3be-5230-9d45-a7927b3df81b,1,0,0,3,1,0,0,0,0,0,0,4,0,0,3,0,0,9
136,7119d665-3a5f-5667-a2df-92826ecfdc63,2,0,0,28,2,0,1,0,8,0,0,13,3,0,1,0,0,37
137,f797c1a6-bb14-52cf-a947-f47fa335fd2b,19,10,2,23,37,7,1,0,2,0,0,12,1,1,3,3,0,20
138,df2ae580-4318-5ea8-bf2f-7096b0c2b4b1,17,8,0,29,9,1,2,1,2,20,0,12,2,0,0,0,0,6
139,30214347-a7e4-5405-8cd5-c402daf20873,19,0,0,6,2,0,0,0,11,0,0,3,4,0,0,0,0,1
140,33dda797-1fd4-5830-8a1c-f9d8a8ff3e53,6,0,1,19,0,0,0,0,0,1,0,17,1,0,0,0,0,10
141,99a79010-bac0-5311-824b-b6a651f2019f,18,2,1,11,12,0,0,0,1,0,0,13,4,0,0,0,0,5
142,7d546fda-abdc-5af6-977c-2471eb5af71e,27,10,0,14,9,5,14,0,1,0,0,33,1,6,0,0,0,8
143,044f27f5-9157-5518-b2db-3b4cba360a10,6,0,1,33,4,1,10,0,4,0,0,9,0,7,0,0,0,5
144,1b29e07f-ce6a-5e5a-aa7f-d9a431746a39,21,2,0,13,3,1,0,1,22,0,0,25,6,2,0,0,0,24
145,0468d57a-43cc-5f1c-a9cd-8da79157f125,2,0,0,6,7,2,0,0,0,0,0,5,0,1,0,0,0,8
146,2366db72-dd1c-5974-9fa5-8679a90547da,11,0,2,6,0,1,0,0,0,3,0,7,0,0,0,0,0,14
147,d263d83f-2fb8-511b-8d64-970ac633913b,10,0,0,11,15,0,0,0,1,0,0,12,0,0,1,0,0,5
148,46f83c97-49c9-5123-9ffa-ad04d045ae83,7,3,0,44,13,6,0,0,0,0,0,33,0,0,0,0,0,13
149,bbdc6c82-e52c-56f4-86eb-c9eb4c7095df,2,0,0,10,4,0,1,0,0,0,0,4,0,0,0,0,0,9
150,710ecb9a-7389-598c-afcc-dd30981aec7d,0,0,0,6,1,0,0,0,0,0,0,2,0,7,0,0,0,7
151,4cdef9d8-e907-57f9-9c5a-1b3693fef20d,31,22,1,85,32,0,3,0,1,5,0,11,0,0,7,0,0,17
152,bcddce62-f6a0-5161-8986-39b70d3ca2bf,2,0,0,8,6,2,6,0,0,5,0,5,0,1,2,0,0,14
153,537877cc-3536-5af7-9089-f635e166e186,6,1,0,9,1,0,2,0,0,0,0,9,0,0,0,0,0,3
154,8e35cdf4-eb9d-5609-926a-c5c945d38140,11,0,4,13,2,0,1,0,1,2,0,8,0,3,4,1,0,17
155,847e9857-57c4-53c9-8f07-3ab821269e78,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
156,8a43f304-1d4b-5bdd-9e53-beefb0ec8fcf,22,2,4,28,20,2,1,0,0,0,0,22,0,1,4,2,0,8
157,f9db2680-f2f7-50a2-a8ec-5e30795c0d38,3,9,0,38,19,1,4,0,0,0,0,33,2,10,13,2,0,14
158,74437a6b-cd9c-5e05-818c-24d381b8b967,3,0,2,1,4,0,0,0,0,0,0,9,0,0,0,0,0,1
159,7abd3a3f-0258-5933-bc1f-0561d29b0c45,36,1,0,16,13,0,0,0,0,0,0,6,0,0,0,1,0,10
160,61fcbe26-cf35-58d5-86af-096bcbb39a59,6,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0
161,a3808877-38a1-5e50-80b1-036311343ea0,0,1,1,2,6,0,2,0,1,0,0,2,0,0,0,0,0,1
162,810a40f4-0660-53be-8326-c9196807ba74,10,5,0,4,3,1,0,0,1,0,0,0,0,0,0,0,0,1
163,c07c487b-fdc9-5b72-861c-b7087ae6907f,14,3,0,15,3,2,1,0,3,0,0,12,0,0,1,0,0,8
164,726df46a-ca74-570e-bec7-1f1aea5eb4ce,18,7,0,25,26,4,0,0,0,4,0,15,0,0,0,0,0,10
165,aa3fedc3-bd7a-5d56-96d4-97ae593bf5e7,1,0,0,5,4,0,0,0,0,0,0,2,0,0,1,0,0,7
166,992550ab-8cfc-5d16-91ea-d53a501bd61b,0,1,0,3,1,0,0,0,1,0,0,3,0,2,0,0,0,2
167,f97a6dff-82d7-5346-9cfa-7dcf7f2f2ea2,54,9,1,15,26,1,0,1,2,0,0,23,6,0,0,1,0,8
168,10555669-89ea-570a-9106-ab5672a6be9c,32,0,1,7,5,1,0,0,0,0,0,6,3,0,0,1,0,12
169,d37a005d-f954-5877-8a9e-3b14a71b84ad,64,9,7,57,21,2,4,0,1,1,0,28,0,4,18,0,0,25
170,c5a8ac4c-1b88-595d-80b8-578b5647ee56,9,3,0,27,1,0,5,1,2,0,0,6,0,1,4,0,0,4
171,5a3eca61-b4c1-5c72-85af-3df6deda4780,20,2,0,8,5,1,2,0,0,0,0,4,0,0,1,0,0,2
172,5eb0ad98-47af-57d7-9749-ee1468d632f7,8,1,0,20,5,0,1,0,1,0,0,7,1,0,1,0,0,4
173,76389429-d6cb-5aed-a0a1-77af1138ecb5,41,16,0,13,24,1,0,0,1,0,0,18,0,1,3,0,0,6
174,cdbbf105-5dff-5bce-b410-b3dcd2b31b28,21,1,1,26,18,0,1,0,0,2,0,18,0,3,0,0,0,19
